Country,Code,year_00,year_01,year_02,year_03,year_04,year_05,year_06,year_07,year_08,year_09,year_10,year_11,year_12,year_13,year_14,year_15,year_16,year_17,year_18,year_19,year_20,year_21
South Africa,ZA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.59077768,15.506601,13.14574107,NA,11.53283663,NA,25.37769126,11.26617326,14.54681283,19.68544893,NA
Denmark,DK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.89651502,16.335198,16.86842881,19.07109904,23.85714245,21.38155949,16.25930003,17.59668966,17.81457513,17.60233264,NA
Cayman Islands,KY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.205191,189.0427367,214.5784138,282.4414305,292.5131672,187.4213909,242.0617797,251.0906389,232.1633104,261.9
Saudi Arabia,SA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.855896,90.74051361,111.8000357,134.4366937,115.0798071,161.9338395,184.7652414,189.5302135,142.0685309,119
Bermuda,BM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.832177,60.14467376,56.18551334,67.61408144,71.64501608,73.60629066,70.70864931,75.15853296,75.61712129,71.9
Kuwait,KW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.14388,33.50418964,36.65762151,35.50304611,32.1283119,40.4285298,44.09902104,45.64326055,48.53660953,46.4
United Arab Emirates,AE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.728127,45.95192676,85.99124298,78.58158294,67.8388746,63.38929808,60.83733559,42.90255668,33.53817225,44.8
Peru,PE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.163795,17.21743079,12.44760357,14.13337823,13.65733119,17.90720206,20.06451809,20.34445563,28.53869316,NA
Indonesia,ID,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.77646,26.17514816,27.75016208,23.29180732,27.53855305,29.77209667,26.93151893,33.94256327,22.18518848,NA
Iraq,IQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.475274,40.94956511,30.14832423,21.93500301,15.67234727,22.74104801,37.12472331,34.68044508,17.81064427,NA
Kazakhstan,KZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.262251,33.96952561,36.08663052,25.55314784,26.86688103,19.11566355,12.33914214,NA,NA,NA
Oman,OM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.951667,22.56879441,24.43841434,22.61340516,16.00818328,12.85363583,NA,NA,NA,NA
Uruguay,UY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.44773712,11.99081077,NA,NA,NA,NA,NA,13.54025588,NA
Vietnam,VN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9877477,13.90724418,15.44845659,16.25930003,21.35208075,32.15056459,34.5797304,43
Finland,FI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.53787781,NA,NA,NA,NA,NA
